id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl,
287,"@user-gs1pu4or7k","Jogetin aja 😂😂😂😂😂😂😂","Ugw2YkRZEOahsDwnvip4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=Ugw2YkRZEOahsDwnvip4AaABAg","2024-04-29 10:37:36",0,"Jogetin aja 😂😂😂😂😂😂😂","http://www.youtube.com/@user-gs1pu4or7k",
288,"@irisoppo3498","Moral dan otak petugas bea cukai perlu ditata","UgzAAwLDgtgD-1AgtAJ4AaABAg","",1,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgzAAwLDgtgD-1AgtAJ4AaABAg","2024-04-29 10:37:10",0,"Moral dan otak petugas bea cukai perlu ditata","http://www.youtube.com/@irisoppo3498",
289,"@limyanti6408","Tega banget ya , boro2 bantu","UgzMoUPBJwKL0pg8kol4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgzMoUPBJwKL0pg8kol4AaABAg","2024-04-29 10:36:44",0,"Tega banget ya , boro2 bantu","http://www.youtube.com/@limyanti6408",
290,"@cahayakehidupan3130","Astagfirullah, meres banget. Kerja kayak gitu gak 1:19 halal uangnya. Padahal banyak uang pajak yang dikorupsi.","UgwacQezKw6HxbeNJ_l4AaABAg","",1,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgwacQezKw6HxbeNJ_l4AaABAg","2024-04-29 10:36:10",0,"Astagfirullah, meres banget. Kerja kayak gitu gak 1:19 halal uangnya. Padahal banyak uang pajak yang dikorupsi.","http://www.youtube.com/@cahayakehidupan3130",
291,"@wahyuhidayatdayat257","Viral dulu baru di respon","UgwvK8C1FnCr8b8QKIp4AaABAg","",1,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgwvK8C1FnCr8b8QKIp4AaABAg","2024-04-29 10:36:09",0,"Viral dulu baru di respon","http://www.youtube.com/@wahyuhidayatdayat257",
292,"@bandungonlinechannel3327","Ini lah pengaplikasian sikat semua tak bandang bulu tapi sayangnya dalam hal negatif, jangankan rakyat miskin SLB saja disikat, miris... 😢😢😢","Ugz-nVa6HmmzLs0-ifF4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=Ugz-nVa6HmmzLs0-ifF4AaABAg","2024-04-29 10:36:08",0,"Ini lah pengaplikasian sikat semua tak bandang bulu tapi sayangnya dalam hal negatif, jangankan rakyat miskin SLB saja disikat, miris... 😢😢😢","http://www.youtube.com/@bandungonlinechannel3327",
293,"@restioktayulia9803","Klo gak salah udah 3berita ni.1 tkw bawak emas.2 sepatu.3 ya ini.wajar gk ya..pa terkejar tuk kaya ya😂😂😂😂😂😂","UgxLya1Qs16H9M58bnB4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgxLya1Qs16H9M58bnB4AaABAg","2024-04-29 10:35:56",0,"Klo gak salah udah 3berita ni.1 tkw bawak emas.2 sepatu.3 ya ini.wajar gk ya..pa terkejar tuk kaya ya😂😂😂😂😂😂","http://www.youtube.com/@restioktayulia9803",
294,"@Luke7L","Ini yg viral, lah yg gk viral ?","Ugyls3T0MOpOYTlQXBt4AaABAg","",1,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=Ugyls3T0MOpOYTlQXBt4AaABAg","2024-04-29 10:35:51",0,"Ini yg viral, lah yg gk viral ?","http://www.youtube.com/@Luke7L",
295,"@abdanraihan4386","Wkwkwkwk... wakanda poreper dah...","UgwcWwZhL-0VgrgXg2R4AaABAg","",1,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgwcWwZhL-0VgrgXg2R4AaABAg","2024-04-29 10:35:50",0,"Wkwkwkwk... wakanda poreper dah...","http://www.youtube.com/@abdanraihan4386",
296,"@parnoanyar6819","Ga ada otaknya","UgyRop4EZ9ylZtX5eG14AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgyRop4EZ9ylZtX5eG14AaABAg","2024-04-29 10:35:25",0,"Ga ada otaknya","http://www.youtube.com/@parnoanyar6819",
