id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl,
167,"@user-kb7rj3fy6q","Apa semua influencer dan importir harus memviralkan semua barangnya yang janggal dan atau ditahan bea cukai?","UgwS49S1NlezzsZGI6t4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgwS49S1NlezzsZGI6t4AaABAg","2024-04-30 07:09:32",0,"Apa semua influencer dan importir harus memviralkan semua barangnya yang janggal dan atau ditahan bea cukai?","http://www.youtube.com/@user-kb7rj3fy6q",
168,"@spot6599","Ga di slidik ni bea cukai udah sring terdengar aneh🤣BERAK CUKAI","UgwfFpWxYhbnXsAAAct4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgwfFpWxYhbnXsAAAct4AaABAg","2024-04-30 06:46:23",0,"Ga di slidik ni bea cukai udah sring terdengar aneh🤣BERAK CUKAI","http://www.youtube.com/@spot6599",
169,"@memantaulugtolug805","Pas Sampai ke POS INDO KENA Pajak lagi 27% 😂 Auto melambung dari harga barang","UgzTfYl-x3rClGBec2F4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgzTfYl-x3rClGBec2F4AaABAg","2024-04-30 06:24:46",0,"Pas Sampai ke POS INDO KENA Pajak lagi 27% 😂 Auto melambung dari harga barang","http://www.youtube.com/@memantaulugtolug805",
170,"@TheNuril666","Lucu y pembeli/penerima paket malah yg di kenakan denda...kenapa tdk ada sangsi ke pihak jasa pengiriman toh mereka yg harusnya bertanggung jawab😪😪","Ugw9gRxFeZjn1DjTqXV4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=Ugw9gRxFeZjn1DjTqXV4AaABAg","2024-04-30 06:20:04",0,"Lucu y pembeli/penerima paket malah yg di kenakan denda...kenapa tdk ada sangsi ke pihak jasa pengiriman toh mereka yg harusnya bertanggung jawab😪😪","http://www.youtube.com/@TheNuril666",
171,"@Bocah_Tua_Nakal_01","Apapun Harus viral dulu baru di tindak 😂😂😂 negara apaan ini..... Konyol bgt...","Ugz46XIF4zE2knO3Vb94AaABAg","",1,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=Ugz46XIF4zE2knO3Vb94AaABAg","2024-04-30 06:06:59",0,"Apapun Harus viral dulu baru di tindak 😂😂😂 negara apaan ini..... Konyol bgt...","http://www.youtube.com/@Bocah_Tua_Nakal_01",
172,"@ariefrif8794","Bandit penjarah rampok disitu smw wkkwk","UgxEoBmBNwVGYcQH46h4AaABAg","",1,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgxEoBmBNwVGYcQH46h4AaABAg","2024-04-30 04:51:59",0,"Bandit penjarah rampok disitu smw wkkwk","http://www.youtube.com/@ariefrif8794",
173,"@prikitiew4015","semoga rezeki pegawai Bea juga tertahan🤲","Ugw3NV47cN17IvTKied4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=Ugw3NV47cN17IvTKied4AaABAg","2024-04-30 04:31:54",0,"semoga rezeki pegawai Bea juga tertahan🤲","http://www.youtube.com/@prikitiew4015",
174,"@yhanakhan2542","Mulai sekarang barang yang di Tahan di bea . . viralkan saja barang nya pasti di kembalikan","UgzXWts8XGwMbYKKXnp4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgzXWts8XGwMbYKKXnp4AaABAg","2024-04-30 04:28:44",0,"Mulai sekarang barang yang di Tahan di bea . . viralkan saja barang nya pasti di kembalikan","http://www.youtube.com/@yhanakhan2542",
175,"@kokisengsih5972","Semua di duitin, semua di pajakin. Inilah wakanda sekarang. Akibat ngumpulin dana untuk IKN","UgzQJ9eTpSGByKvs2jh4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgzQJ9eTpSGByKvs2jh4AaABAg","2024-04-30 04:27:55",0,"Semua di duitin, semua di pajakin. Inilah wakanda sekarang. Akibat ngumpulin dana untuk IKN","http://www.youtube.com/@kokisengsih5972",
176,"@yhanakhan2542","Hadeuuh negeri Konoha mata duitan","UgwSLIYgIO6Te-TMvx14AaABAg","",1,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgwSLIYgIO6Te-TMvx14AaABAg","2024-04-30 04:27:39",0,"Hadeuuh negeri Konoha mata duitan","http://www.youtube.com/@yhanakhan2542",
177,"@roeddysetiawan870","Usulkan pejabat sontoloyo ini dipecat saja.","UgzBWJNCQd6IHRfXn214AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgzBWJNCQd6IHRfXn214AaABAg","2024-04-30 04:27:13",0,"Usulkan pejabat sontoloyo ini dipecat saja.","http://www.youtube.com/@roeddysetiawan870",
178,"@subnetsystem69s15","Lelahnya hidup di Wakanda Kampung Maling bersanding dengan Preman Berseragam","UgzyP1FEzHTi1ibJJrh4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgzyP1FEzHTi1ibJJrh4AaABAg","2024-04-30 04:24:35",0,"Lelahnya hidup di Wakanda Kampung Maling bersanding dengan Preman Berseragam","http://www.youtube.com/@subnetsystem69s15",
